name,smiles,max_phase,atc,disease
RAMELTEON,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,4.0,N05CH02,CNS (other)
ZOPICLONE,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,4.0,N05CF01,CNS (other)
ISOFLURANE,FC(F)OC(Cl)C(F)(F)F,4.0,N01AB06,CNS (other)
ENFLURANE,FC(F)OC(F)(F)C(F)Cl,4.0,N01AB04,CNS (other)
GLAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,4.0,N02BG03,CNS (other)
NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,4.0,N02CC02,CNS (other)
FROVATRIPTAN,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,4.0,N02CC07,CNS (other)
LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,4.0,N03AX14,Epilepsy
SALSALATE,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,2.0,N02BA06,CNS (other)
ROTIGOTINE,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,4.0,N04BC09,Parkinson's
OXITRIPTAN,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,3.0,N06AX01,Depression
LISURIDE,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,3.0,G02CB02;N02CA07,CNS (other)
FONAZINE,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C,2.0,N02CX05,CNS (other)
PRAMIRACETAM,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,2.0,N06BX16,Cognition/ADHD
TOLCAPONE,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,4.0,N04BX01,Parkinson's
LEVOMETHADONE,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,2.0,N07BC05,Other CNS
BENORILATE,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,4.0,N02BA10,CNS (other)
CEVIMELINE,CC1OC2(CS1)CN1CCC2CC1,4.0,N07AX03,Other CNS
AMIFAMPRIDINE,Nc1ccncc1N,4.0,N07XX05,Other CNS
