pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
22848561,PMC3407203,10.1371/journal.pone.0041667,Bisphenol A binds to the local anesthetic receptor site to block the human cardiac sodium channel.,PLoS One,2012,True,"carbamazepine, lamotrigine, lidocaine, mexiletine, phenytoin",,0,10,read here
38336906,PMC10858247,10.1038/s41598-024-53588-x,Drosophila expressing mutant human KCNT1 transgenes make an effective tool for targeted drug screening in a whole animal model of KCNT1-epilepsy.,Sci Rep,2024,True,"cannabidiol, carbamazepine, flecainide, propafenone, quinidine",,0,10,read here
35696452,PMC9679167,10.1093/brain/awac210,The gain of function SCN1A disorder spectrum: novel epilepsy phenotypes and therapeutic implications.,Brain,2022,True,"carbamazepine, lacosamide, lamotrigine, oxcarbazepine, phenytoin",,0,10,read here
33832341,PMC8154177,10.1161/circulationaha.121.053350,Cardiac Late Sodium Channel Current Is a Molecular Target for the Sodium/Glucose Cotransporter 2 Inhibitor Empagliflozin.,Circulation,2021,True,"lidocaine, mexiletine, ranolazine, tetrodotoxin, veratridine",,0,10,read here
28009824,PMC5192471,10.3390/md14120234,Chitosan Oligosaccharide Reduces Propofol Requirements and Propofol-Related Side Effects.,Mar Drugs,2016,True,"lidocaine, tetracaine, tetrodotoxin, veratridine",,2,10,read here
26330722,PMC4541190,10.4103/0970-9185.161679,Physiological and pharmacologic aspects of peripheral nerve blocks.,J Anaesthesiol Clin Pharmacol,2015,True,"bupivacaine, lidocaine, ropivacaine, saxitoxin, tetrodotoxin",,0,10,read here
26963710,PMC4786197,10.1371/journal.pone.0150761,Parameterization for In-Silico Modeling of Ion Channel Interactions with Drugs.,PLoS One,2016,True,"flecainide, lidocaine, ranolazine","-120, -100, -80, -30, -20",1,10,read here
34671263,PMC8521073,10.3389/fphar.2021.751095,New Challenges Resulting From the Loss of Function of Na<sub>v</sub>1.4 in Neuromuscular Diseases.,Front Pharmacol,2021,True,"carbamazepine, mexiletine, quinidine, tetrodotoxin",-50,2,10,read here
41611918,PMC12855270,10.1038/s41598-026-37492-0,Exceptionally selective voltage-sensor trapping of Na&lt;sub&gt;V&lt;/sub&gt;1.5 channels by Mg-protoporphyrin impairs cancer cell migration.,Sci Rep,2026,True,"ranolazine, saxitoxin, tetrodotoxin","-400, -90, -30, -10",0,9,read here
41693793,PMC12894229,10.3389/fphar.2026.1754290,From venom peptides to neurotherapeutics: BmK defensins and short-chain peptides as modulators of ion channels.,Front Pharmacol,2026,True,,,9,9,read here
