inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
XRIGGQUTPYWOPL-UHFFFAOYSA-N,COc1cc(O)c(-c2cc(=O)c3c(O)cc(O)c(OC)c3o2)cc1O,COCONUT,CNP0236473.0,coverage,True,346.29,2.3,129.59,4,8,3,3,0.118,0.532
ARICZLGTUHLTFQ-UHFFFAOYSA-N,COc1cc(OC)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,COCONUT,CNP0156106.0,coverage,True,298.29,3.183,68.9,1,5,3,3,0.118,0.804
GSDPDMPAMXKDMZ-UHFFFAOYSA-N,COc1cc(O)c(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc1O,COCONUT,CNP0115492.0,coverage,True,404.37,2.914,116.82,2,9,6,3,0.25,0.598
OVFDXRVXQRNNCT-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(O)c3o2)cc1,COCONUT,CNP0288585.0,coverage,True,314.29,2.888,89.13,2,6,3,3,0.118,0.723
CQVDOHIEYGNTQX-UHFFFAOYSA-N,CC(C)=CCc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(O)c1O,COCONUT,CNP0185811.0,coverage,True,354.36,3.791,111.13,4,6,3,3,0.15,0.421
GNVQLNWJZAHMQS-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OCC=C(C)C)cc(O)c3c(=O)c2OC)cc1O,COCONUT,CNP0247495.0,coverage,True,398.41,4.233,98.36,2,7,6,3,0.227,0.6
LXQUCUQNRDUIPD-UHFFFAOYSA-N,COc1cc(-c2oc3cc(O)c(OC)c(OC)c3c(=O)c2OC)cc(O)c1OC,COCONUT,CNP0100231.0,coverage,True,404.37,2.914,116.82,2,9,6,3,0.25,0.639
ZQSIJRDFPHDXIC-QTFCXHRBSA-N,O=c1c(-c2ccc(O)cc2)coc2[13cH][13c](O)[13cH]cc12,COCONUT,CNP0605332.0,coverage,True,257.22,2.871,70.67,2,4,1,3,0.0,0.703
JTJIFFUHXHGAOQ-INIZCTEOSA-N,CC1(C)C=Cc2c(cc(O)c3c2O[C@H](c2ccc(O)cc2)CC3=O)O1,COCONUT,CNP0162349.1,coverage,True,338.36,3.989,75.99,2,5,1,2,0.25,0.822
VEBSPWFAJLIEQM-JJGPTOORSA-N,COc1cc([C@H]2Oc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(OC)c3C[C@@H]2O)ccc1O,COCONUT,CNP0320836.1,coverage,True,480.47,-0.375,167.53,6,11,6,2,0.478,0.319
SFDDCVYUBBUSMV-FCHUYYIVSA-N,O=C1c2c(cc(O)c(Cc3ccc(O)cc3)c2O)O[C@H](c2ccc(O)cc2)[C@H]1O,COCONUT,CNP0294686.1,coverage,True,394.38,2.777,127.45,5,7,3,3,0.136,0.462
WTYYPLMAODUDGW-QOUKUZOOSA-N,O=c1cc(-c2ccccc2)oc2cc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,COCONUT,CNP0193310.1,coverage,True,432.38,0.05,170.05,6,10,4,3,0.286,0.331
YVAMPWXEJCQAJJ-UHFFFAOYSA-N,COc1ccc(OC)c(-c2cc(=O)c3ccccc3o2)c1,COCONUT,CNP0256327.0,coverage,True,282.3,3.477,48.67,0,4,3,3,0.118,0.738
JOQWUUJQWPZLAT-UHFFFAOYSA-N,CC(C)=CCc1cc(-c2coc3cc(O)cc(O)c3c2=O)cc(O)c1O,COCONUT,CNP0308288.0,coverage,True,354.36,3.791,111.13,4,6,3,3,0.15,0.421
XUBYZJHAYIWTHA-UHFFFAOYSA-N,Cc1cc(-c2cc(=O)c3c(O)c(O)c(O)cc3o2)ccc1O,COCONUT,CNP0416784.0,coverage,True,300.27,2.591,111.13,4,6,1,3,0.062,0.514
VHXUGOWOCZPTRX-UHFFFAOYSA-N,COc1cc(O)c(-c2coc3cc(O)ccc3c2=O)c(O)c1CC=C(C)C,COCONUT,CNP0170909.0,coverage,True,368.39,4.094,100.13,3,6,4,3,0.19,0.6
UVDNRKMZMPBBTJ-ZFWWWQNUSA-N,Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)cc1O)[C@@H](O)C2,COCONUT,CNP0131445.1,coverage,True,306.27,1.252,130.61,6,7,1,2,0.2,0.345
XJUDJFVOICLOMY-GOSISDBHSA-N,CC(C)=CCc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)c(O)c1)CC2=O,COCONUT,CNP0188247.2,coverage,True,356.37,3.724,107.22,4,6,3,2,0.25,0.493
YPWHZCPMOQGCDQ-CXWQUDHASA-N,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,COCONUT,CNP0256626.3,coverage,True,448.38,-0.245,190.28,7,11,4,3,0.286,0.279
SOSLMHZOJATCCP-VVTWGIOXSA-N,C[C@H]1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H](O)[C@@H]1O,COCONUT,CNP0167643.8,coverage,True,432.38,0.783,170.05,6,10,3,3,0.286,0.348
VQUPQWGKORWZII-GVKLZSCFSA-N,C[C@@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@H]2c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0134044.7,coverage,True,434.4,0.332,166.14,6,10,3,2,0.381,0.396
VTDBDVABTGGRMO-IXQPCOCWSA-N,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O[C@H]1OC(CO)[C@@H](O)C(O)C1O,COCONUT,CNP0162520.1,coverage,True,478.41,-0.236,199.51,7,12,5,3,0.318,0.254
GGWMNTNDTRKETA-UHFFFAOYSA-N,COc1cc(O)c(-c2coc3cc(O)ccc3c2=O)c(OC)c1CC=C(C)C,COCONUT,CNP0274695.0,coverage,True,382.41,4.397,89.13,2,6,5,3,0.227,0.636
