inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(N)Cc1ccccc1,DrugBank,DB00191,evaluation,False,149.24,1.966,26.02,1,1,2,1,0.4,0.683
UCEWGESNIULAGX-UHFFFAOYSA-N,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,DrugBank,DB00192,evaluation,False,308.43,3.217,55.12,2,2,6,2,0.35,0.805
TVYLLZQTGLZFBW-UHFFFAOYSA-N,COc1cccc(C2(O)CCCCC2CN(C)C)c1,DrugBank,DB00193,evaluation,False,263.38,2.635,32.7,1,3,4,1,0.625,0.906
OIRDTQYFTABQOQ-UHTZMRCNSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,DrugBank,DB00194,evaluation,False,267.25,-1.98,139.54,4,8,2,2,0.5,0.491
NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,DrugBank,DB00195,evaluation,False,307.43,2.393,50.72,2,4,11,1,0.667,0.616
RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,DrugBank,DB00196,evaluation,False,306.28,0.736,81.65,1,5,5,3,0.231,0.752
GXPHKUHSUJUWKP-UHFFFAOYSA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,DrugBank,DB00197,evaluation,False,441.55,4.374,84.86,2,6,5,2,0.417,0.717
VSZGPKBBMSAYNT-RRFJBIMHSA-N,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,DrugBank,DB00198,evaluation,False,312.41,1.285,90.65,2,5,7,0,0.75,0.691
ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,DrugBank,DB00199,evaluation,False,733.94,1.786,193.91,5,14,7,0,0.946,0.238
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O,DrugBank,DB00201,evaluation,False,194.19,-1.029,61.82,0,3,0,2,0.375,0.538
