endpoint,split,n,folds,n_positive,n_decoy,n_measured_inactive_train,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,f1_mean,balanced_acc_mean,recorded_scaffold_cv_auroc,rerun_minus_recorded
NLRP3,random,888,10,222,637,29,0.9886201850967942,0.013581226994183486,0.9829558722826539,0.01474212999294883,0.9186447484029052,0.9348760541783797,0.9407557076278685,0.971,
NLRP3,scaffold,888,10,222,637,29,0.9737477043761349,0.035620281117011446,0.9715184860830576,0.032157870046127246,0.8910859531446105,0.9041920132090366,0.9214085547807157,0.971,0.0027477043761349185
Nav1_1,random,425,10,65,0,360,0.9595899470899472,0.036263187238540766,0.8810215181643752,0.08272812240557502,0.7555467154864588,0.7871338980936504,0.9204365079365079,0.941,
Nav1_1,scaffold,425,10,65,0,360,0.9106424606533154,0.11465046163015066,0.7197592037296466,0.30788094575022784,0.6688701948870066,0.707573744085372,0.8720017371368085,0.941,-0.030357539346684503
Nav1_5,random,833,10,242,0,591,0.9683020244821092,0.014572620198160616,0.9395635553450464,0.02411693814723294,0.8039842625891802,0.8576474890022701,0.8962161016949153,0.927,
Nav1_5,scaffold,833,10,242,0,591,0.9253727500262834,0.07342869875106423,0.8621025728291227,0.11381494483722712,0.7200217543806875,0.777067889696175,0.8394977553629976,0.927,-0.0016272499737166601
Nav1_6,random,1104,10,276,806,22,0.992454428632066,0.012484212472224053,0.9817510107716823,0.026831866385174045,0.9483141479026367,0.9610020995161221,0.9771115433472177,0.976,
Nav1_6,scaffold,1104,10,276,806,22,0.9865450867344571,0.015233617933421546,0.9679130657948999,0.037004399556292006,0.8414795674540351,0.8519113221369274,0.9131285052587559,0.976,0.010545086734457088
Nav1_7,random,10976,10,2744,8064,168,0.998751453000227,0.0004810758175960005,0.9962827426534678,0.0013107388420858163,0.9706144398043965,0.9779332678254434,0.9849964713503029,0.998,
Nav1_7,scaffold,10976,10,2744,8064,168,0.9973103594691739,0.0016277418088270913,0.9927059813581222,0.004766854836709048,0.9557036387683236,0.9665522540608051,0.9746689891795839,0.998,-0.0006896405308260967
Nav1_8,random,1132,10,283,830,19,0.9955259345117357,0.009492753481036703,0.9930483907436329,0.009884332632988149,0.9647617273484272,0.9728949669409553,0.9794479860909882,0.987,
Nav1_8,scaffold,1132,10,283,830,19,0.9882260203640728,0.018721093716321278,0.9676029184431523,0.04606966724606296,0.8794018905863059,0.887613273695209,0.9117992179458584,0.987,0.0012260203640728218
OPRK1,random,12236,10,3059,9022,155,0.9978606159047008,0.0016631766117456883,0.9952329005270245,0.0031225365627500106,0.9616908328340109,0.9708158207301392,0.9745579019160328,0.995,
OPRK1,scaffold,12236,10,3059,9022,155,0.9956189078463114,0.002000439305604764,0.991630173337666,0.0027609225657845233,0.9382973937860035,0.9522217312095517,0.9573803226359526,0.995,0.0006189078463113562
OPRM1,random,14872,10,3718,10971,183,0.9984228826319355,0.0011768089304013648,0.9965547353834259,0.002321629216970669,0.9706700739133876,0.9778795659052658,0.9825608587490084,0.997,
