endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
lipophilicity,regression,scaffold,9,3780,420,,,,,,0.5639659326964629,0.7529950507760645,0.5858003733537186,0.745822578155986
lipophilicity,regression,scaffold,10,3780,420,,,,,,0.5450524058918227,0.8380723481724218,0.6356467431294455,0.7002553095795073
caco2_permeability,regression,random,1,807,90,,,,,,0.8005028956324396,0.3740909710233093,0.2707854016480059,0.8926472285769191
caco2_permeability,regression,random,2,807,90,,,,,,0.6257526555890531,0.46405997088468204,0.3689223695506857,0.7708904423873014
caco2_permeability,regression,random,3,807,90,,,,,,0.7300303971730802,0.428635338695148,0.34579953002552455,0.8417811913982427
caco2_permeability,regression,random,4,807,90,,,,,,0.6828403244169312,0.39250360112590565,0.3099825156594829,0.7806187130913996
caco2_permeability,regression,random,5,807,90,,,,,,0.7562941771185736,0.420269959698588,0.3149499777651733,0.850036839617729
caco2_permeability,regression,random,6,807,90,,,,,,0.7566423168343059,0.40165130450307646,0.3018253395625838,0.8292709030426578
caco2_permeability,regression,random,7,807,90,,,,,,0.7115997679700423,0.3881381895077702,0.2980901456544918,0.8155755448361846
caco2_permeability,regression,random,8,808,89,,,,,,0.7848935009456511,0.37499517874782967,0.30368250466463015,0.8383875790587169
caco2_permeability,regression,random,9,808,89,,,,,,0.7531304651028301,0.3427799141033442,0.28077150260107975,0.8618323644991266
caco2_permeability,regression,random,10,808,89,,,,,,0.7406986679701976,0.35417919156787936,0.27499968176682554,0.8272825550615519
caco2_permeability,regression,scaffold,1,807,90,,,,,,0.7265274424044018,0.36674868349707673,0.27826626232808516,0.8279614591592296
caco2_permeability,regression,scaffold,2,807,90,,,,,,0.4296792040114801,0.43784845018866214,0.3433677438638913,0.6069856531376211
caco2_permeability,regression,scaffold,3,807,90,,,,,,0.7011115524402942,0.4584819936504585,0.38523900013704826,0.8265352321369774
caco2_permeability,regression,scaffold,4,807,90,,,,,,0.42079945915426376,0.48856947355324154,0.39979563734802404,0.6956922595910687
caco2_permeability,regression,scaffold,5,807,90,,,,,,0.6629428425398542,0.4550088530469679,0.3509005498499907,0.761936121275471
caco2_permeability,regression,scaffold,6,807,90,,,,,,0.6299702262993825,0.5158127077928475,0.4200059670923923,0.7832799625681894
caco2_permeability,regression,scaffold,7,807,90,,,,,,0.3945839077938694,0.5018548626919016,0.3753135611995198,0.6062045433491867
caco2_permeability,regression,scaffold,8,808,89,,,,,,0.6455312675136047,0.5380421400718207,0.4392933616076744,0.7868968980898227
caco2_permeability,regression,scaffold,9,808,89,,,,,,0.6718514865112302,0.5012602737066364,0.39194758398926594,0.8354522510012966
caco2_permeability,regression,scaffold,10,808,89,,,,,,0.643603120146574,0.46181701036371897,0.34461944554823243,0.6714394556795629
plasma_protein_binding,regression,random,1,1617,180,,,,,,0.20105701657090036,15.13521267725935,9.197057254110092,0.6475799015873013
plasma_protein_binding,regression,random,2,1617,180,,,,,,0.4048605454488007,13.468697278839596,8.509438759193479,0.6849434171417434
plasma_protein_binding,regression,random,3,1617,180,,,,,,0.3988834793872732,13.641467686789513,8.947066279634978,0.6718422934059204
plasma_protein_binding,regression,random,4,1617,180,,,,,,0.43707571193052874,13.135485180846356,8.316709448024199,0.7481279598190678
plasma_protein_binding,regression,random,5,1617,180,,,,,,0.5110849364045561,14.027305705797824,9.073647664057136,0.7147165195460959
