endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,4061,451,127,337.0,0.9925634295713037,0.9836666215098024,0.8580197988701038,0.8859649122807017,0.8976377952755905,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,4061,451,118,338.0,0.9947829185117322,0.9895699684149919,0.9306192960891565,0.9473684210526315,0.9546241156410649,4512,1128,3218,166
PDE4B,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,4061,451,108,338.0,0.9771622934888241,0.9564607506402995,0.8189683074222905,0.8497409326424871,0.875256451787064,4512,1128,3218,166
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,5364,596,149,,0.9999699713226131,0.9999111071603182,0.9865765724632495,0.9898305084745763,0.9899328859060403,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,5364,596,149,,0.9942645226191011,0.9805073663307445,0.9369473717610055,0.9523809523809523,0.9642058165548099,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,5364,596,149,,0.9983484227437203,0.9959116322195564,0.9730730197773466,0.9797297297297297,0.9843400447427293,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,5364,596,149,,0.9983634370824137,0.9957771630247345,0.9685737130918637,0.9761092150170648,0.9787472035794182,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,5364,596,149,,0.9912466405417174,0.9611542095061772,0.9368548394921017,0.952054794520548,0.9619686800894854,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,5364,596,149,,0.9929883038301579,0.9835763597541143,0.9642058165548099,0.9731543624161074,0.9821029082774049,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,5364,596,149,,0.9983033797276399,0.9949458709966477,0.9504812538754709,0.9621993127147767,0.9675615212527964,5960,1490,4019,451
