endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
COX2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,4256,472,110,326.0,0.9769964841788046,0.8993430231131307,0.7745742455932529,0.8229665071770335,0.8729532898041186,4728,1182,3200,346
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,6422,714,179,,0.9985694147130998,0.9964706108590061,0.966441089714354,0.9742120343839542,0.9748603351955307,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,6422,714,179,,0.9959379731634731,0.9929408813189315,0.9588540755521106,0.9684813753581661,0.9711324596668929,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,6422,714,179,,0.9981308411214954,0.9951591855352885,0.9550279877256209,0.9657142857142857,0.9701978802276405,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,6422,714,179,,0.9972432517099149,0.9937391303738615,0.9437420116182658,0.9567723342939481,0.9618179919594841,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,6422,714,178,,0.9993501593157806,0.9983061461745283,0.9774904499267747,0.9829545454545454,0.9850222203588798,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,6422,714,178,,0.998081921851417,0.9955876557982994,0.9662158000323702,0.9742120343839542,0.9765952540667449,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,6423,713,178,,0.9978683188070986,0.9944112702112926,0.9436186790170659,0.956268221574344,0.9597395778641185,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,6423,713,178,,0.9976372991704295,0.993868015286566,0.9436186790170659,0.956268221574344,0.9597395778641185,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,6423,713,178,,0.9988449018166544,0.9969410311736877,0.9699611183509899,0.9771428571428571,0.979402499212433,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,6423,713,178,,0.996629213483146,0.9926923374845406,0.9250153545834815,0.9404761904761905,0.9438202247191011,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,6422,714,177,493.0,0.9958863323128071,0.9909137456871646,0.9436011860057154,0.9557522123893806,0.9576271186440678,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,6422,714,186,493.0,0.9979838709677419,0.9950807426546174,0.9382219524614084,0.952112676056338,0.9543010752688172,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,6422,714,179,495.0,0.9954367462016394,0.9904964715066181,0.9365659057936442,0.9501466275659824,0.952513966480447,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,6422,714,208,495.0,0.9947077379142597,0.9921100130967871,0.9592796026625063,0.9704433497536946,0.9725695500152022,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,6422,714,179,495.0,0.9969091004020258,0.9933450875227029,0.9551075424895046,0.9655172413793104,0.9683391635775074,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,6422,714,151,496.0,0.9985178737369579,0.9949683117531386,0.9534559207328781,0.9629629629629629,0.9708456353734134,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,6423,713,199,495.0,0.9943198482685803,0.988999163410147,0.923277468098074,0.9417989417989417,0.9462634182586083,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,6423,713,158,495.0,0.9975367772836127,0.993256017375969,0.9592340396743357,0.9673202614379085,0.9683544303797469,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,6423,713,186,495.0,0.9984085205362061,0.9959789926077403,0.9381941874331419,0.952112676056338,0.9543010752688172,7136,1784,5334,18
CSF1R,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,6423,713,161,495.0,0.9949027815284905,0.9870446392892144,0.9310607831337661,0.9456869009584664,0.9560041407867494,7136,1784,5334,18
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,1263,141,36,,1.0,1.0,0.9813512696610774,0.9859154929577465,0.9861111111111112,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,1263,141,35,,0.9997304582210242,0.9992063492063493,0.9809942913865387,0.9855072463768116,0.9857142857142858,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,1263,141,35,,0.9997304582210242,0.9992063492063493,0.9429325995462374,0.9552238805970149,0.9571428571428571,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,1263,141,35,,1.0,1.0,0.9619754806630081,0.9705882352941176,0.9714285714285714,1404,351,1037,16
