endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
GSK3B,classification,random,2,496,4462,367,462.0,0.9682327476445125,0.9975227044316657,0.6669086998751496,0.9796355841371919,0.7887063916475681,,,,
GSK3B,classification,random,3,496,4462,382,462.0,0.9770180799592564,0.9982081774772305,0.7633628956492469,0.9849462365591398,0.8486121721415839,,,,
GSK3B,classification,random,4,496,4462,358,462.0,0.9887318563789153,0.9991803824128106,0.7086154146131961,0.9817400644468314,0.8181181563534505,,,,
GSK3B,classification,random,5,496,4462,379,462.0,0.9388846447669977,0.9950675682995751,0.5805986379560371,0.9742489270386266,0.7560478736949325,,,,
GSK3B,classification,random,6,496,4462,384,462.0,0.9677234530175707,0.9975575771599579,0.5336452260790777,0.9698275862068966,0.7517188693659282,,,,
GSK3B,classification,random,7,496,4462,378,462.0,0.972275273745862,0.9978163246511501,0.6391346251691457,0.9786324786324786,0.7603768780239368,,,,
GSK3B,classification,random,8,496,4462,392,461.0,0.9730399752091727,0.9978988031570755,0.590589265847466,0.9730312837108953,0.7748682987294702,,,,
GSK3B,classification,random,9,495,4463,388,461.0,0.9705882352941178,0.9975451194911759,0.6824504585497708,0.98068669527897,0.7897792522648973,,,,
GSK3B,classification,random,10,495,4463,369,461.0,0.9744800306239633,0.9979209797898937,0.7679096293375766,0.9848812095032398,0.8622240653311216,,,,
GSK3B,classification,scaffold,1,496,4462,211,429.0,0.9787426503844415,0.9959730497230012,0.8276533183081638,0.9782857142857143,0.8645061406255437,,,,
GSK3B,classification,scaffold,2,496,4462,211,461.0,0.8901766346451814,0.9900169228724042,0.5142103783526014,0.9711229946524064,0.7066935233963434,,,,
GSK3B,classification,scaffold,3,496,4462,212,467.0,0.9193679391567599,0.9943042881148131,0.528258388198406,0.9778714436248683,0.6864431809791036,,,,
GSK3B,classification,scaffold,4,496,4462,212,460.0,0.9086352657004831,0.9918066871554835,0.5163396376027636,0.9699570815450643,0.7135265700483091,,,,
GSK3B,classification,scaffold,5,496,4462,212,469.0,0.9366658769643844,0.9958136853745123,0.4956775442630412,0.9779179810725552,0.6809207928610914,,,,
GSK3B,classification,scaffold,6,496,4462,212,476.0,0.9193277310924369,0.9958658008406249,0.46588735863799874,0.9779179810725552,0.7384453781512605,,,,
GSK3B,classification,scaffold,7,496,4462,212,465.0,0.9619146722164413,0.9973309593062318,0.5734180902397168,0.9777306468716861,0.7215053763440861,,,,
GSK3B,classification,scaffold,8,496,4462,212,455.0,0.9191637630662022,0.9918807006016466,0.43512357241938787,0.9647812166488794,0.6308496381667114,,,,
GSK3B,classification,scaffold,9,495,4463,212,462.0,0.963334645152827,0.9972240284201129,0.6707804907787807,0.9795479009687836,0.8106060606060606,,,,
GSK3B,classification,scaffold,10,495,4463,212,473.0,0.9721314626177205,0.9986139451047982,0.5660183681726864,0.9843260188087775,0.702431289640592,,,,
