endpoint,skeleton,n_stereoisomers,labels_disagree,potency_gap_log_units
A2A,CC1CC(F)(F)CN1CCc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4,2,False,0.44
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(C(N)C(F)(F)F)cc4)C3)nc21,2,False,0.95
A2A,Cc1cc2nc(NC(C)c3cncc(F)c3)nc(C(=O)N3CCC(CO)C3)c2s1,2,False,0.6
A2A,CC1N(CCc2nc3c4ccc5c(c4nc(N)n3n2)OC(F)(F)O5)CCCC1(F)F,2,False,0.18
A2A,CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1,2,False,0.18
A2A,COc1ccc(CNc2nc3c(OC)cc(F)cc3c3nc(C4CC(F)CN(c5cnn(CC(C)(C)O)c5)C4)nn23),4,False,2.31
A2A,CC(=O)Nc1cc(-c2cc(F)cc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2,False,0.3
A2A,Cc1cc(C)n(-c2cc(NC(=O)CN3CCCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1,2,False,0.82
A2A,CC(=O)Nc1cc(-c2cccc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2,False,0.3
A2A,CC(O)CNC(=O)c1nc(NC(C)c2cncc(F)c2)nc2ccsc12,2,False,0.6
A2A,COc1cc2nc(N)n3nc(C4CC(C)CN(c5cn(CC(C)(C)O)nc5C)C4)nc3c2cc1F,2,False,1.48
A2A,COc1ccc(N2CCN(CCn3c(=O)cnc4c(-c5ccc(C)o5)nc(N)nc43)C(C)C2)cc1,2,False,1.63
A2A,Nc1nc(OCCc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,2,False,0.52
A2A,Nc1nc2c(O)cccc2c2nc(C3CCCC(CCC(F)(F)F)C3)nn12,4,False,1.63
A2A,CC(c1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCCC(F)(F)C1,2,False,0.55
A2A,CCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,2,False,0.02
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ncc(C(C)(C)N)cc4C)C3)nc21,2,False,1.09
A2A,CC(O)CNC(=O)c1nc(NC(C)c2ccccn2)nc2ccsc12,2,False,0.0
A2A,CC(=O)Nc1cc(N2CCCC2COc2ccccn2)nc(-n2nc(C)cc2C)n1,2,False,1.04
A2A,Cc1cc(-c2c(-c3ccccc3)nc(N)n3c(=O)n(CC4CC(O)CN4C)nc23)cc(C)n1,2,False,0.0
A2A,COc1cccc2c1nc(N)n1nc(C3CCCCN(CC(F)(F)F)C3)nc21,2,False,0.92
A2A,CCn1cc(N2CC(c3nc4c5cccc(OC)c5nc(N)n4n3)CCC2C)cn1,2,False,0.92
A2A,COc1cccc2c1nc(N)n1nc(C3CCC(C)N(c4cnn(CC(C)(C)O)c4)C3)nc21,3,False,1.8
A2A,Nc1nc2c3c(ccc2c2nc(C4CCC(N5CCCC(F)(F)C5)C4)nn12)OC(F)(F)O3,2,False,0.3
A2A,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12,2,False,0.42
A2A,CC(Nc1nc(C(=O)N2CCC(F)C2)c2sccc2n1)c1cccnc1,3,False,0.6
A2A,CCC1CCC(c2nc3c4cccc(OC)c4nc(N)n3n2)CN1c1cnn(CC(C)(C)O)c1,4,False,1.93
A2A,CC(NC(=O)n1cnc2c(-c3ccco3)nc(N)nc21)c1ccccc1,2,False,1.12
A2A,CC1CCC(c2nc3c4cc(F)cc(F)c4nc(N)n3n2)CN1c1cnn(C(C)(CO)CO)c1,2,False,1.28
A2A,CC(Nc1nc(C(=O)N2CCC(F)C2)c2sccc2n1)c1cncc(F)c1,2,False,0.0
A2A,COc1ccc2c(c1)nc(N)n1nc(C3CC(F)CN(c4cn(CC(C)(C)O)nc4C)C3)nc21,2,False,2.39
A2A,COc1cc(F)cc2c1nc(N)n1nc(C3CCC(C)N(c4cn(CC(C)(C)O)nc4C)C3)nc21,3,False,3.02
A2A,Cc1cnc2ccc(-c3c(N4CCOCC4C)nc(N)n4nc(Cc5ncccc5F)nc34)cn12,2,False,0.23
A2A,COC1CCN(C(=O)c2nc(NC(C)c3cncc(F)c3)nc3ccsc23)C1,2,False,0.0
A2A,COC1CCN(C(=O)c2nc(NC(C)c3cncc(Cl)c3)nc3ccsc23)C1,2,False,0.0
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(CC(=O)O)C(=O)O)cc4)nc32)C,2,False,0.21
A2A,CC(NC(=O)c1nc(-c2cc(Cl)c3ncccc3c2)c(-c2ccccc2)nc1N)c1cccc(C#N)n1,2,False,1.6
A2A,CC1CCN(C(=O)c2nc(NC(C)c3ccccn3)nc3ccsc23)C1,2,False,0.6
A2A,Cc1cnc2ccc(-c3nc(C(=O)NCC4CCCN4C)c(N)nc3-c3ccc(F)cc3)cn12,2,False,0.38
A2A,COc1ccc2c(c1)nc(N)n1nc(C3CC(C)CN(c4cn(C(C)C(C)O)nc4C)C3)nc21,2,False,0.4
A2A,COc1cccc2c1nc(N)n1nc(C3CCC(F)(F)CN3)nc21,2,False,0.9
A2A,COc1cc2nc(N)n3nc(C4CCC(C)N(c5cnn(C6CCC(C)(O)CC6)c5)C4)nc3c2cc1F,2,False,0.07
A2A,CN1CCCC1Cc1nc2c(-c3ccc4ncn(C)c4c3)c(-c3ccc(F)cc3)nc(N)n2n1,2,False,0.92
A2A,Cc1cc2nc(NC(C)c3cncc(F)c3)nc(C(=O)N3CCC3C)c2s1,2,False,0.0
A2A,CC(Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,2,False,0.16
A2A,COc1ccc2c(c1)nc(N)n1nc(C3CCC(C)N(c4cnn(C(C)C(C)(C)O)c4)C3)nc21,3,False,2.65
