inventory_date,commit,model,family,predicts,task,algorithm,n_train,n_positive,n_scaffolds,validation,metric,random_split,scaffold_split,calibration,threshold_basis,deployed,fitted
2026-08-19,6dd47bd,Sigma1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",7298,1514.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.81,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:40
2026-08-19,6dd47bd,TAAR1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",82,189.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.725,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:04
2026-08-19,6dd47bd,a3b4nAChR_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",750,156.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.973,"sigmoid, prefit",random_chemistry_specificity,True,2026-08-13 21:03
2026-08-19,6dd47bd,a4b2nAChR_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",1817,389.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.937,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:03
2026-08-19,6dd47bd,a7nAChR_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",1277,266.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.896,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:44
2026-08-19,6dd47bd,mGluR5_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",4554,954.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.924,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:50
2026-08-19,6dd47bd,mTOR_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",11382,2430.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.992,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:53
2026-08-19,6dd47bd,adme_caco2_permeability,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",897,,,10-fold random and 10-fold scaffold-grouped,R2,0.7342,0.5837,none,,True,2026-08-13 22:12
2026-08-19,6dd47bd,adme_clearance_hepatocyte,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",1020,,,10-fold random and 10-fold scaffold-grouped,R2,0.2302,0.2062,none,,True,2026-08-13 22:13
2026-08-19,6dd47bd,adme_kpuu,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",566,,,10-fold random and 10-fold scaffold-grouped,R2,0.4044,0.3525,none,,True,2026-08-13 22:14
2026-08-19,6dd47bd,adme_lipophilicity,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",4200,,,10-fold random and 10-fold scaffold-grouped,R2,0.6389,0.5659,none,,True,2026-08-13 22:12
2026-08-19,6dd47bd,adme_logbb,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",1058,,,10-fold random and 10-fold scaffold-grouped,R2,0.5774,0.4235,none,,True,2026-08-13 22:14
2026-08-19,6dd47bd,adme_pgp_inhibition,exposure,probability,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",1212,,,10-fold random and 10-fold scaffold-grouped,AUROC,0.9549,0.9346,none,,True,2026-08-13 22:06
2026-08-19,6dd47bd,adme_pgp_substrate,exposure,probability,classification,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",1371,,,10-fold random and 10-fold scaffold-grouped,AUROC,0.8576,0.8059,none,,True,2026-08-13 22:07
2026-08-19,6dd47bd,adme_plasma_protein_binding,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",1797,,,10-fold random and 10-fold scaffold-grouped,R2,0.4336,0.3645,none,,True,2026-08-13 22:13
2026-08-19,6dd47bd,adme_solubility,exposure,measured value,regression,"RandomForest, 300 trees, min_samples_leaf=2, seed 42",9573,,,10-fold random and 10-fold scaffold-grouped,R2,0.8036,0.7279,none,,True,2026-08-13 22:10
