endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
BChE,classification,random,10,2951,327,0.982653521974714,0.98750171655695,0.8631230004951909,0.9317507418397626,0.9327776941601444,,,,
BChE,classification,scaffold,1,2950,328,0.9645606884057971,0.9661119051480017,0.7839875515659152,0.8797250859106529,0.8928140096618358,,,,
BChE,classification,scaffold,2,2950,328,0.9494760624829575,0.9341561561526871,0.7879505746205927,0.8685258964143426,0.8898173035721242,,,,
BChE,classification,scaffold,3,2950,328,0.9182575272261371,0.9658174890454607,0.6622830734190787,0.8847926267281107,0.8400170830664104,,,,
BChE,classification,scaffold,4,2950,328,0.9619961326788635,0.9697673515744621,0.8301309650119787,0.9113924050632911,0.9143239625167336,,,,
BChE,classification,scaffold,5,2950,328,0.9532036613272311,0.964121914168704,0.7527065335527836,0.8924731182795699,0.8788710907704043,,,,
BChE,classification,scaffold,6,2950,328,0.9332724296753073,0.9290859217157322,0.7456243045844627,0.8551236749116607,0.8744052377145902,,,,
BChE,classification,scaffold,7,2950,328,0.9525676937441644,0.9655185779402317,0.7831562364771614,0.8868501529051988,0.8914098972922503,,,,
BChE,classification,scaffold,8,2950,328,0.9552865213882162,0.9774348818247434,0.7930103593905674,0.9181141439205955,0.9065778853914447,,,,
BChE,classification,scaffold,9,2951,327,0.9328958162428219,0.9661249110333217,0.6907335911447336,0.8743718592964824,0.8582034454470878,,,,
BChE,classification,scaffold,10,2951,327,0.929560505719446,0.9402592227764939,0.6248328811825709,0.7788778877887789,0.8054259482239614,,,,
BACE1,classification,random,1,7386,821,0.9727953305418093,0.9945027003905806,0.7751807962830013,0.9697396199859254,0.8861121685065347,,,,
BACE1,classification,random,2,7386,821,0.9895825402867656,0.9982641652360152,0.8919561403308507,0.9851799576570219,0.9510087552341073,,,,
BACE1,classification,random,3,7386,821,0.9774013450069788,0.9961955919512688,0.8097725470588841,0.9747191011235955,0.8986423042761071,,,,
BACE1,classification,random,4,7386,821,0.981867783276234,0.996893426245183,0.8036042599164857,0.9732016925246827,0.9048344118766654,,,,
BACE1,classification,random,5,7386,821,0.9819185382565665,0.9970571686178791,0.7966675975999681,0.9717114568599717,0.9072262403248319,,,,
BACE1,classification,random,6,7386,821,0.9580129425199848,0.9919932042262003,0.7542661104107936,0.9669247009148487,0.8756947087933004,,,,
BACE1,classification,random,7,7386,821,0.9777478339713882,0.9963402738374945,0.7708218333661807,0.9698668535388928,0.8719398549264559,,,,
BACE1,classification,random,8,7387,820,0.9595547592726719,0.9930336966296391,0.7207913487781054,0.9627023223082336,0.8562434084295862,,,,
