smiles,pka,year,basic_centre,says_acid,says_base
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,7.94,2013.0,True,False,False
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,2010.0,True,False,False
C=CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],8.04,1989.0,False,False,False
C=CCOc1cc(N)ccc1C(=O)O,5.01,1977.0,False,False,False
C=CCOc1ccccc1OCC(O)CNC(C)C,9.535,2013.0,True,True,False
C=CCOc1noc2c1CNCC2.Cl,7.5,1986.0,True,False,False
C=CCS[C@@H](C(=O)NC1c2ccccc2C[C@H]1O)[C@H](O)[C@@H](O)[C@@H](SCC=C)C(=O)N[C@H]1c2ccccc2C[C@H]1O,9.8,2001.0,True,False,False
C=CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2,2013.0,True,False,False
C=CCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc([N+](=O)[O-])c1O,7.8,1994.0,True,False,False
C=CCc1cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)ccc1O,10.28,1988.0,True,False,False
C=CCc1ccccc1OCC(O)CNC(C)C,9.55,2013.0,True,True,False
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4.0,2009.0,True,False,False
C=CCn1cc(/C=N/O)[n+](C)c1.[I-],9.56,1985.0,False,False,False
C=CCn1cc(/C=N/O)[n+](C)c1SC.[I-],9.24,1985.0,False,False,False
C=CCn1cc(/C=N\O)[n+](C)c1SC.[I-],9.42,1985.0,False,False,False
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)P(=O)(O)Cc1c(F)cccc1F,2.7,2012.0,True,False,False
C=C[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.0,2013.0,True,False,False
C=C[C@@](C)(/C=C/c1ccc(OCCCCN)cc1)CCC=C(C)C,9.54,2021.0,True,False,False
C=C[C@@](C)(/C=C/c1ccc(OCCCCN2CCSCC2)cc1)CCC=C(C)C,8.41,2021.0,True,False,False
C=C[C@@](C)(/C=C/c1ccc(OCCCCNC(=N)N)cc1)CCC=C(C)C,11.38,2021.0,True,False,False
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,8.41,2013.0,True,True,False
