name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
BRANAPLAM HYDROCHLORIDE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,silver
CIPROFLOXACIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,77.0,56.0,53.0,38.0,41.0,silver
VALPROATE SODIUM,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,57.0,60.0,74.0,52.0,52.0,37.0,42.0,silver
TRETINOIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,61.0,77.0,59.0,51.0,37.0,41.0,silver
THALIDOMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,67.0,74.0,52.0,54.0,45.0,48.0,silver
SERINE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,63.0,64.0,73.0,51.0,51.0,38.0,41.0,silver
PREDNISONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,56.0,50.0,37.0,41.0,silver
METHYLPREDNISOLONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,62.0,77.0,50.0,49.0,37.0,41.0,silver
DEXMEDETOMIDINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,70.0,61.0,73.0,55.0,56.0,47.0,50.0,silver
FASUDIL,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,65.0,64.0,72.0,51.0,52.0,36.0,43.0,silver
ENOXACIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,64.0,78.0,54.0,53.0,37.0,40.0,silver
CLENBUTEROL,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,72.0,64.0,71.0,52.0,56.0,46.0,52.0,silver
LACOSAMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,64.0,65.0,73.0,58.0,54.0,37.0,42.0,silver
PRAMIPEXOLE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,75.0,52.0,54.0,44.0,47.0,silver
ALEPLASININ,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,73.0,65.0,59.0,80.0,55.0,67.0,silver
POZANICLINE,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,64.0,54.0,80.0,56.0,70.0,silver
QUINIDINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,61.0,74.0,56.0,54.0,47.0,53.0,silver
SARACATINIB,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,75.0,63.0,58.0,79.0,56.0,68.0,silver
PIMOZIDE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,62.0,70.0,55.0,53.0,38.0,41.0,silver
MYCOPHENOLATE MOFETIL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,73.0,56.0,51.0,36.0,40.0,silver
SEMAGACESTAT,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,73.0,63.0,65.0,78.0,56.0,68.0,silver
