inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DIAZEPAM,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,4.45,,2,training_label,B3DB;ChEMBL_37,4.0,N05BA01,Anxiety,False,284.75,3.154,32.67,0,2,1,2,0.125,0.792
AAPCMUAAQFZHRZ-IPJJNNNSSA-N,CC(C)[C@H](O)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,,,,,,,,,,,,,,,,1.0,7.13,,,1.0,7.65,,,,,,2,training_label,ChEMBL_37,,,,False,431.58,2.619,74.27,2,6,7,1,0.708,0.691
AAPCMUAAQFZHRZ-WOIUINJBSA-N,CC(C)[C@@H](O)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,,,,,,,,,,,,,,,,1.0,7.04,,,1.0,7.46,,,,,,2,training_label,ChEMBL_37,,,,False,431.58,2.619,74.27,2,6,7,1,0.708,0.691
AAPDUULDKMVVIH-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2c(=O)oc3ccc(Cl)cc32)cc1OC,,,,,,,,,,,,,,0.0,4.3,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,491.93,4.643,86.27,0,6,6,4,0.192,0.392
AAPNNVKAQPYKAA-UHFFFAOYSA-N,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC(C)C)cc34)CC2)cc1,,,,,,,,,,,,,,,,1.0,6.78,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,376.5,5.253,37.49,1,3,6,3,0.333,0.638
AAPXNHMQKBDDJN-AVRDEDQJSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccccc3)C2)n1C,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,409.56,4.14,59.98,0,6,7,3,0.5,0.432
AAPXNHMQKBDDJN-GCJKJVERSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3)C2)n1C,,,,,,,,,,,,,,,,1.0,6.03,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,409.56,4.14,59.98,0,6,7,3,0.5,0.432
AAPXNHMQKBDDJN-PGRDOPGGSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,,,,,,,,,,,,,,,,1.0,6.135,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,409.56,4.14,59.98,0,6,7,3,0.5,0.432
AAQOQKQBGPPFNS-UHFFFAOYSA-N,CC[N+](C)(C)Cc1ccccc1Br,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1,training_label,B3DB,,,,False,243.17,3.045,0.0,0,0,3,1,0.455,0.716
AAQUEQYOKSKIDA-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,,,,,,,,,,,,,,,,1.0,7.7,,,1.0,6.23,,,,,,2,training_label,ChEMBL_37,,,,False,443.57,2.832,70.16,0,6,8,2,0.435,0.585
AAQZZAVVFRIEOD-UHFFFAOYSA-N,CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,,,,,,,,,,,,,,,,,,,,1.0,7.38,1.0,7.77,,,,2,training_label,ChEMBL_37,,,,False,364.19,5.866,12.47,0,2,4,2,0.25,0.673
