row_key,endpoint,panel,task,description,chembl_target_id,identifier_source_script,training_table,n_compounds,n_active_label1,n_inactive_label0,n_binder_pchembl_ge7,pchembl_min,pchembl_max,year_min,year_max,data_sources,label_rule,n_scaffolds,n_features,model_family,hyperparameters,cv_folds,roc_auc_random_mean,roc_auc_random_sd,roc_auc_scaffold_mean,roc_auc_scaffold_sd,spearman_scaffold_mean,model_file,calibrated_model_file,deployed,cv_detail_in,uniprot_accession,chembl_pref_name,dual_model_note
HT1A [Binder classifier],HT1A,Binder classifier,classification,5-HT1A,CHEMBL214,fetch_new_targets.py,data/endpoints/HT1A.csv,5414.0,5220.0,194.0,3703.0,4.01,10.85,1989.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.996,,,models_rf/HT1A_binder.joblib,,True,07_binder_panel_training_design.csv,,,
HT2A [Binder classifier],HT2A,Binder classifier,classification,5-HT2A,CHEMBL224,data/core_panel_target_ids.json,data/endpoints/HT2A.csv,5989.0,5908.0,81.0,3951.0,4.0,11.0,1994.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.993,,,models_rf/HT2A_binder.joblib,,True,07_binder_panel_training_design.csv,P28223,5-hydroxytryptamine receptor 2A,"HT2A is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
HT6 [Binder classifier],HT6,Binder classifier,classification,5-HT6,CHEMBL3371,fetch_new_targets.py,data/endpoints/HT6.csv,3823.0,3766.0,57.0,2741.0,4.12,10.4,1999.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/HT6_binder.joblib,,True,07_binder_panel_training_design.csv,,,
HT7 [Binder classifier],HT7,Binder classifier,classification,5-HT7,CHEMBL3155,fetch_new_targets.py,data/endpoints/HT7.csv,2556.0,2441.0,115.0,1478.0,4.0,10.0,2000.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.989,,,models_rf/HT7_binder.joblib,,True,07_binder_panel_training_design.csv,,,
KEAP1 [Binder classifier],KEAP1,Binder classifier,classification,KEAP1/Nrf2,CHEMBL2069156,fetch_batch2.py,data/endpoints/KEAP1.csv,323.0,216.0,107.0,122.0,2.41,10.15,2013.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.979,,,models_rf/KEAP1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
LRRK2 [Binder classifier],LRRK2,Binder classifier,classification,LRRK2,CHEMBL5407,fetch_new_targets.py,data/endpoints/LRRK2.csv,1478.0,1460.0,18.0,1173.0,4.2,11.0,2007.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/LRRK2_binder.joblib,,True,07_binder_panel_training_design.csv,,,
MT1 [Binder classifier],MT1,Binder classifier,classification,melatonin MT1,CHEMBL1945,fetch_batch2.py,data/endpoints/MT1.csv,969.0,939.0,30.0,697.0,4.0,11.0,1997.0,2023.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/MT1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
NET [Binder classifier],NET,Binder classifier,classification,NET,CHEMBL222,fetch_new_targets.py,data/endpoints/NET.csv,3067.0,2801.0,266.0,1572.0,4.03,10.19,1996.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.994,,,models_rf/NET_binder.joblib,,True,07_binder_panel_training_design.csv,,,
NLRP3 [Binder classifier],NLRP3,Binder classifier,classification,NLRP3,CHEMBL1741208,fetch_batch2.py,data/endpoints/NLRP3.csv,487.0,428.0,59.0,222.0,4.09,10.15,2016.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.971,,,models_rf/NLRP3_binder.joblib,,True,07_binder_panel_training_design.csv,,,
Nav1_1 [Binder classifier],Nav1_1,Binder classifier,classification,Nav1_1,CHEMBL1845,fetch_batch3.py,data/endpoints/Nav1_1.csv,425.0,65.0,360.0,15.0,4.37,8.64,2014.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.941,,,models_rf/Nav1_1_binder.joblib,,False,07_binder_panel_training_design.csv,,,
Nav1_5 [Binder classifier],Nav1_5,Binder classifier,classification,Nav1.5,CHEMBL1980,fetch_batch2.py,data/endpoints/Nav1_5.csv,833.0,242.0,591.0,40.0,4.0,9.55,1995.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.927,,,models_rf/Nav1_5_binder.joblib,,True,07_binder_panel_training_design.csv,,,
Nav1_6 [Binder classifier],Nav1_6,Binder classifier,classification,Nav1.6,CHEMBL5202,fetch_batch4.py,data/endpoints/Nav1_6.csv,726.0,681.0,45.0,276.0,4.04,10.22,2009.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.976,,,models_rf/Nav1_6_binder.joblib,,True,07_binder_panel_training_design.csv,,,
Nav1_7 [Binder classifier],Nav1_7,Binder classifier,classification,Nav1.7,CHEMBL4296,fetch_batch3.py,data/endpoints/Nav1_7.csv,5752.0,5415.0,337.0,2744.0,4.02,10.76,2005.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.998,,,models_rf/Nav1_7_binder.joblib,,True,07_binder_panel_training_design.csv,,,
