inchikey,smiles,cid
CBQJSKKFNMDLON-UHFFFAOYSA-N,CC(=O)NC(Cc1ccccc1)C(=O)O,2000
DZTHIGRZJZPRDV-UHFFFAOYSA-N,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,2002
QAWIHIJWNYOLBE-UHFFFAOYSA-N,NC(C(=O)O)C1CC(Cl)=NO1,2007
FZEYVTFCMJSGMP-UHFFFAOYSA-N,O=c1c2ccccc2[nH]c2ccccc12,2015
MROJXXOCABQVEF-UHFFFAOYSA-N,CC(=O)Nc1ccc(CC(=O)O)cc1,2018
XJLATMLVMSFZBN-UHFFFAOYSA-N,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C,2020
FQNCLVJEQCJWSU-UHFFFAOYSA-N,Cc1cc2ncc(-c3ccccc3)nc2cc1C,2048
VTJXFTPMFYAJJU-UHFFFAOYSA-N,N#CC(C#N)=Cc1ccc(O)c(O)c1,2052
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,2082
WNMJYKCGWZFFKR-UHFFFAOYSA-N,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,2092
HOVAGTYPODGVJG-UHFFFAOYSA-N,COC1OC(CO)C(O)C(O)C1O,2108
ZAKOWWREFLAJOT-UHFFFAOYSA-N,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,2117
VGLGVJVUHYTIIU-UHFFFAOYSA-N,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,2122
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2123
BUZAJRPLUGXRAB-UHFFFAOYSA-N,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,2125
JBDGDEWWOUBZPM-UHFFFAOYSA-N,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,2132
KZFDKINRISJFCO-UHFFFAOYSA-N,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2,2143
ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,2145
HSMNQINEKMPTIC-UHFFFAOYSA-N,Nc1ccc(C(=O)NCC(=O)O)cc1,2148
RLFWWDJHLFCNIJ-UHFFFAOYSA-N,Cc1c(N)c(=O)n(-c2ccccc2)n1C,2151
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2153
