# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1Cc1cc(O)ns1,44,328.353,1.96867,93.25,2.0,7.0,3.0,3.0,0.13333334,4.0,23.0,0.0,0.76654387
Br.N=c1ncc(-c2ccccc2)cn1CCCCCCCCCCCCn1cc(-c2ccccc2)cnc1=N,30,508.714,6.97374,83.34,2.0,4.0,15.0,4.0,0.375,4.0,38.0,0.0,0.16991249
Br.N=c1ncccn1CCCCCCCCCCCCn1cccnc1=N,24,356.518,3.63974,83.34,2.0,4.0,13.0,2.0,0.6,2.0,26.0,0.0,0.53709847
Br.N=c1sc(-c2cccc(Cl)c2)nn1CCCCCCCCCCCCn1nc(-c2cccc(Cl)c2)sc1=N,35,589.662,8.40354,83.34,2.0,6.0,15.0,4.0,0.42857143,4.0,38.0,0.0,0.13653627
Br.N=c1sc(-c2ccccc2)nn1CCCCCCCCCCCCn1nc(-c2ccccc2)sc1=N,29,520.772,7.09674,83.34,2.0,6.0,15.0,4.0,0.42857143,4.0,36.0,0.0,0.1639199
Br.N=c1sc(-c2cccs2)nn1CCCCCCCCCCCCn1nc(-c2cccs2)sc1=N,32,532.83,7.21974,83.34,2.0,8.0,15.0,4.0,0.5,4.0,34.0,0.0,0.15843281
Br.N=c1sc2ccccc2n1CCO,28,194.259,1.17457,49.01,2.0,3.0,2.0,2.0,0.22222222,2.0,13.0,0.0,0.7405329
Br.N=c1sccn1CCCCCCCCCCCCn1ccsc1=N,22,366.6,4.97274,57.56,2.0,4.0,13.0,2.0,0.6666667,2.0,24.0,0.0,0.47017285
Br.NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@@H](N)Cc1ccc(O)cc1,56,586.693,0.1305,193.87,6.0,7.0,12.0,3.0,0.3125,4.0,43.0,0.0,0.17353433
Br.NCCC(=O)NCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,46,463.563,3.3383,126.21,4.0,6.0,9.0,4.0,0.16666667,4.0,33.0,0.0,0.28213233
Br.N[C@H]1C[C@@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C(=O)O)N(C(=O)[C@@H](N)Cc2ccc(O)cc2)C1,55,587.677,0.7298,188.08,6.0,7.0,12.0,3.0,0.3125,4.0,43.0,0.0,0.17883855
Br.N[C@H]1C[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)N(C(=O)[C@@H](N)Cc2ccc(O)cc2)C1,55,587.677,0.7298,188.08,6.0,7.0,12.0,3.0,0.3125,4.0,43.0,0.0,0.17883855
Br.Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,56,367.518,3.1241,62.38,2.0,5.0,2.0,2.0,0.5714286,6.0,26.0,0.0,0.856052
Br.O=C(CC1CCN(CC2CC2)CC1)c1ccc(F)cc1,34,275.367,3.5205,20.31,0.0,2.0,5.0,1.0,0.5882353,3.0,20.0,0.0,0.76630664
Br.O=C(NO)c1ccc(Cn2cc(CN[C@@H]3C[C@H]3c3ccccc3)cn2)cc1,49,362.433,2.6961,79.18,3.0,4.0,7.0,3.0,0.23809524,4.0,27.0,0.0,0.44598585
Br.O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCNCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,31,577.685,3.4342,110.85,3.0,7.0,14.0,4.0,0.29411766,6.0,43.0,0.0,0.15560496
Br.O=C1c2ccccc2CCC1C1CCN(CC2CC2)CC1,37,283.415,3.5537,20.31,0.0,2.0,3.0,1.0,0.6315789,4.0,21.0,0.0,0.8452164
Br.O=C1c2ccccc2CCC1C1CCN(CCc2ccccc2)CC1,40,333.475,4.3864,20.31,0.0,2.0,4.0,2.0,0.4347826,4.0,25.0,0.0,0.82708144
Br.O=[N+]([O-])c1ccc(C/N=C(/NC2CCCCC2)SCCCc2c[nH]cn2)cc1,57,401.536,4.4622,96.21,2.0,5.0,8.0,2.0,0.5,3.0,28.0,0.0,0.22373782
Br.Oc1ccc([C@H]2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3C2)cc1,39,311.381,2.9789,72.72,4.0,4.0,1.0,2.0,0.36842105,4.0,23.0,0.0,0.61103064
Br.Oc1noc2c1CNCC2,24,140.142,0.0259,58.29,2.0,4.0,0.0,1.0,0.5,2.0,10.0,0.0,0.53326863
Br.c1ccc(CN/C(=N/C2CCCC2)SCCCc2c[nH]cn2)cc1,50,342.512,4.1639,53.07,2.0,3.0,7.0,2.0,0.47368422,3.0,24.0,0.0,0.4511041
Br.c1ccc(CN/C(=N/C2CCCCC2)SCCCc2c[nH]cn2)cc1,51,356.539,4.554,53.07,2.0,3.0,7.0,2.0,0.5,3.0,25.0,0.0,0.43448636
